Release 7.1.04i - par H.42
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

Wed Jul 04 00:51:38 2007


INPUT FILE:       FPGA1_map.ncd
OUTPUT FILE:      FPGA1_pad.txt
PART TYPE:        xc4vlx200
SPEED GRADE:      -10
PACKAGE:          ff1513

Pinout by Pin Number:

+----------+---------------------+---------+--------------------+---------+-----------+--------------+----------+---------+-----------+---------+---------+----------+---------+-----------+----------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AD32      |HADDR_S0[29]         |IOB      |IO_L19N_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD33      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD34      |HADDR_S0[27]         |IOB      |IO_L18N_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD35      |HADDR_S0[18]         |IOB      |IO_L14P_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD36      |HADDR_S0[19]         |IOB      |IO_L14N_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD37      |HADDR_S0[10]         |IOB      |IO_L10P_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD38      |                     |         |VCCO_15             |         |           |15            |          |         |           |         |2.50     |          |         |           |                |
|AD39      |HADDR_S0[15]         |IOB      |IO_L12N_VREF_15     |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AE1       |                     |IOBS     |IO_L26N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AE2       |                     |LOWCAPIOB|IO_L24N_CC_LC_16    |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AE3       |                     |LOWCAPIOB|IO_L24P_CC_LC_16    |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AE4       |                     |IOBS     |IO_L27N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AE5       |                     |         |VCCO_16             |         |           |16            |          |         |           |         |any******|          |         |           |                |
|AE6       |                     |IOBM     |IO_L28P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AE7       |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AE8       |                     |IOBS     |IO_L31N_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AE9       |                     |IOBM     |IO_L31P_16          |UNUSED   |           |16            |          |         |           |         |         |          |         |           |                |
|AE10      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AE11      |                     |IOBS     |IO_L12N_VREF_12     |UNUSED   |           |12            |          |         |           |         |         |          |         |           |                |
